"NAME_1","lvstReqME_2020","lvstReqME_2021","lvstReqME_2022","lvstReqME_2023","feedME_mean_2020","feedME_mean_2021","feedME_mean_2022","feedME_mean_2023","adeq_2020","adeq_2021","adeq_2022","adeq_2023","adeqMin_2020","adeqMin_2021","adeqMin_2022","adeqMin_2023","adeqMax_2020","adeqMax_2021","adeqMax_2022","adeqMax_2023"
"Gombe",17206775808,17202659328,17166683136,17166688256,31874623488,29816872960,30302066688,31600128000,1.85244602729004,1.73327114090252,1.76516723981781,1.84078184031537,1.6118894066544,1.50610062848203,1.53537949953794,1.59906453183967,2.17754202082626,2.0392954052473,2.07587721838126,2.16611958122715
"Imo",6478609408,6475247616,6460311040,6460314624,15281164288,15271460864,16054233088,17392105472,2.35871053888977,2.35843658337714,2.48505574864705,2.69214527221144,1.46164183525523,1.46168710054481,1.53885629865394,1.66790519081283,3.79600393626167,3.79838695709906,4.00606306243966,4.33678428336796
"Jigawa",55295008768,55272054784,55148347392,55148371968,40390565888,37305544704,40159592448,38575316992,0.73045590891333,0.674944053550893,0.728210260999148,0.699482425598773,0.632483078460535,0.584522089943426,0.630519865378732,0.60510297613582,0.859555285123077,0.794743323325445,0.857092322203653,0.823754980842101
"Kaduna",36123312128,36116508672,36042383360,36042391552,131655262208,128242597888,129540358144,131505078272,3.64460661141731,3.55080273823429,3.59411187795545,3.6486224306806,3.11312760159478,3.03216203872738,3.06866620944066,3.11484369589257,4.35424596865688,4.24299635466269,4.29402651644438,4.3620612776609
"Kano",38473654272,38457634816,38372823040,38372839424,47396421632,43513364480,47506268160,45282762752,1.23191889434048,1.13146231400316,1.23801858702132,1.18007328703641,1.05666744427211,0.968865699804885,1.05983404379667,1.01026253875196,1.4498540954336,1.33286549424249,1.45847876159788,1.39084461788178
"Katsina",53965017088,53942886400,53822599168,53822623744,46320066560,41415409664,47767166976,45496115200,0.858335067039199,0.767764063585593,0.887492757956583,0.845297238135326,0.738894355912553,0.660363627808023,0.762314967247764,0.726501619479023,1.00935821229218,0.903284363098862,1.04489131854102,0.994907985145911
"Kebbi",36284346368,36274102272,36196507648,36196519936,53576290304,51292499968,56732561408,51691929600,1.47656760192462,1.41402534467663,1.56734903708686,1.42809114498846,1.26676323635712,1.21036260354984,1.34332089067172,1.22365435708443,1.76069289604676,1.68962454768883,1.8709974854251,1.70523638440623
"Kogi",19166533632,19159119872,19116775424,19116783616,73674719232,72301019136,74933960704,77940252672,3.84392507516301,3.77371296902129,3.91980127620921,4.07705889429888,2.93276011201488,2.90825460579267,3.002652451062,3.13179559249805,5.433358190882,5.2605029787725,5.50922593459683,5.70853940914389
"Kwara",16500377600,16495839232,16460865536,16460870656,93061693440,84994752512,91371528192,88918466560,5.63997356278683,5.15249641540638,5.55083376339901,5.40180822863031,4.75948346856038,4.34946225396205,4.6867990300875,4.55779996900769,6.8173200215896,6.22254883882667,6.70404514280044,6.5295862971036
"Lagos",301560544,301456608,300868544,300868640,5747207680,5424250880,5572041728,5460362752,19.0582216219904,17.9934714849575,18.5198547309751,18.1486603322965,11.4132650046976,10.772796107391,11.0127444240108,10.7940976286619,31.9591871839909,30.1873443418031,31.2846071951149,30.6587315834529
