"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item","codeSPAM","codeBasket_grouped"
"7453","65028",90.42,42.37,57.52,9.47,5.46,92.29,0.93,12.3,NA,NA,NA,1.9,NA,19.4,8.1,53.08,7.8,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7454","65044",90.06,34.69,50.56,8.21,7.28,91.31,0.82,12.8,NA,NA,NA,2.1,NA,43.7,14.2,57.04,8.34,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7455","65060",90.25,42.14,59.73,9.88,4.26,92.59,0.58,12.7,NA,NA,NA,1.8,NA,17.6,5.7,53.63,7.92,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7456","64980",90.63,40.2,54.15,7.94,5.19,89.25,1.05,13.6,NA,NA,NA,2.4,NA,49.4,8.4,54.84,8.02,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7457","64997",90.76,47.49,62.23,10.06,3.08,90.98,1.11,12.8,NA,NA,NA,2,NA,26.7,2.7,47.93,7.02,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7458","65013",90.41,45.67,61.62,10.57,3.48,92.31,0.76,13.1,NA,NA,NA,1.8,NA,15.3,5,49.76,7.28,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7459","65029",90.39,43.21,59.32,10.24,3.84,91.34,0.69,14.1,NA,NA,NA,1.9,NA,21.3,5.5,50.38,7.44,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7460","65045",90.43,43.23,59.98,9.76,3.6,91.47,0.54,12.3,NA,NA,NA,1.9,NA,33.5,6.3,52.15,7.67,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7461","65061",90.32,42.5,58.85,9.96,4.2,92.14,0.66,11.9,NA,NA,NA,1.7,NA,25.1,8,52.03,7.66,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7462","64981",90.71,46.56,61.2,9.9,3.31,91.22,1.05,11.8,NA,NA,NA,1.9,NA,18.1,3,48.82,7.12,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7463","64998",90.76,46.74,62.18,9.97,2.7,90.57,0.96,11.8,NA,NA,NA,2,NA,33.3,3,48.74,7.15,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7464","65014",90.24,40.27,55.61,9.46,5.26,91.3,0.68,13.8,NA,NA,NA,2,NA,29.8,10.8,53.49,7.85,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7465","65030",90.38,43.25,60.11,9.52,4.69,92.25,0.77,11.3,NA,NA,NA,1.9,NA,13.5,5.8,52.72,7.71,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7466","65046",90.29,44.85,61.82,10.08,4.03,92.69,0.67,12.2,NA,NA,NA,1.8,NA,12.6,5.8,51.41,7.54,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7467","65062",90.03,31.01,43.96,7.05,11.55,91.27,1.43,12.9,NA,NA,NA,2.2,NA,28,18.9,61.2,9.01,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7468","64982",90.55,41.12,55.9,8.42,4.93,90.29,0.99,12.7,NA,NA,NA,2.1,NA,35.2,7.8,53.63,7.83,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7469","64999",90.67,44.62,59.68,9.55,3.35,90.44,0.97,13.1,NA,NA,NA,2.1,NA,33.2,5.5,50.02,7.35,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7470","65015",90.41,42.93,59.16,10.12,4.08,91.3,0.66,13.2,NA,NA,NA,2,NA,44.7,8.2,50.76,7.44,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7471","65031",90.36,44.98,61.89,10.25,3.8,92.51,0.59,11.2,NA,NA,NA,1.8,NA,28.6,5.8,50.73,7.42,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7472","65047",90.19,41.4,58.34,9.8,4.88,91.64,0.64,12.7,NA,NA,NA,1.9,NA,25,8.4,53.4,7.84,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7473","65063",90.51,43.79,58.57,9.69,5.22,91.3,0.94,12.4,NA,NA,NA,2.1,NA,21.1,8.9,51.58,7.57,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7474","64983",90.71,44.49,58.92,9.04,3.93,90.88,1.07,14.3,NA,NA,NA,2.2,NA,17.7,5,51.35,7.55,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
