Variable,Statistic,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey
DMY,Mean,DS,Forest,,,,,1.25,,0.08,,0.25,,
DMY,Mean,DS,Periurban,,,,,3.05,,0.17,,0.5,,
DMY,Maximum,DS,Dry Savannah,,,,,0.86,,0.03,,0.09,,
DMY,Maximum,DS,Wet Savannah,,,,,1.14,,0.08,,0.25,,
DMY,Maximum,DS,Forest,,,,,1.25,,0.08,,0.25,,
DMY,Maximum,DS,Periurban,,,,,7.3,,0.08,,0.25,,
WD,Minimum,WS,Dry Savannah,5.5,5.5,2.5,5.5,2.5,9.95,9.95,9.95,9.95,,
WD,Minimum,WS,Wet Savannah,5.5,5.5,2.5,5.5,2.5,6.85,6.85,6.85,6.85,,
WD,Minimum,WS,Forest,5.5,5.5,2.5,5.5,2.5,6.85,6.85,6.85,6.85,,
WD,Minimum,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,Mean,WS,Dry Savannah,5.5,5.5,2.5,5.5,2.5,11.6,11.6,11.6,11.6,,
WD,Mean,WS,Wet Savannah,5.5,5.5,2.5,5.5,2.5,9.3,9.3,9.3,9.3,,
WD,Mean,WS,Forest,5.5,5.5,2.5,5.5,2.5,9.3,9.3,9.3,9.3,,
WD,Mean,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,Maximum,WS,Dry Savannah,5.5,5.5,2.5,5.5,2.5,13.25,13.25,13.25,13.25,,
WD,Maximum,WS,Wet Savannah,5.5,5.5,2.5,5.5,2.5,11.75,11.75,11.75,11.75,,
WD,Maximum,WS,Forest,5.5,5.5,2.5,5.5,2.5,11.75,11.75,11.75,11.75,,
WD,Maximum,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,Minimum,DS,Dry Savannah,5.5,5.5,5.5,2.5,5.5,10.46,10.46,10.46,10.46,,
WD,Minimum,DS,Wet Savannah,5.5,5.5,5.5,2.5,5.5,8.7,8.7,8.7,8.7,,
WD,Minimum,DS,Forest,5.5,5.5,5.5,2.5,5.5,8.7,8.7,8.7,8.7,,
WD,Minimum,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,Mean,DS,Dry Savannah,5.5,5.5,5.5,2.5,5.5,13.9,13.9,13.9,13.9,,
WD,Mean,DS,Wet Savannah,5.5,5.5,5.5,2.5,5.5,9.5,9.5,9.5,9.5,,
WD,Mean,DS,Forest,5.5,5.5,5.5,2.5,5.5,9.5,9.5,9.5,9.5,,
WD,Mean,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,Maximum,DS,Dry Savannah,5.5,5.5,5.5,2.5,5.5,17.34,17.34,17.34,17.34,,
WD,Maximum,DS,Wet Savannah,5.5,5.5,5.5,2.5,5.5,10.3,10.3,10.3,10.3,,
WD,Maximum,DS,Forest,5.5,5.5,5.5,2.5,5.5,10.3,10.3,10.3,10.3,,
WD,Maximum,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
Work,Minimum,WS,Wet Savannah,0.9,,,,,,,,,,
Work,Minimum,WS,Forest,0.9,,,,,,,,,,
Work,Mean,WS,Wet Savannah,0.9,,,,,,,,,,
Work,Mean,WS,Forest,0.9,,,,,,,,,,
Work,Maximum,WS,Wet Savannah,0.9,,,,,,,,,,
Work,Maximum,WS,Forest,0.9,,,,,,,,,,
Work,All,All,All,,,,,,,,,,0.9,0.9
