,NAME_3,DEA crop mask,ESRI crops,ESA crops,CGLS crops
83,Dembecha,491.89340000000004,643.5341000000001,692.4139,402.5887709999999
84,Jabi Tehnan,545.6638,907.7291,962.3374,506.7506260000012
85,Mecha,849.4514,1210.9672,1104.2791,673.5181289999987
86,Quarit,330.0027,526.7792000000001,473.9714,275.1911039999997
87,Sekela,417.7354,653.1289,527.8061,330.9900179999999
88,Semen Achefer,696.9486,897.8869000000001,907.2907,598.529995999999
89,Wemberma,527.9987,421.8557,559.3608,368.2348250000002
90,Yilmana Densa,950.25,995.6735000000001,1096.7247,686.3164419999979
91,Aneded,483.1754,433.77790000000005,512.6223,352.7670719999995
92,Awabel,536.4011,477.0527,597.1750000000001,426.6383640000005
93,Baso Liben,594.8481,381.0018,636.666,457.6015260000004
94,Bibugn,219.5044,324.7534,233.26860000000002,167.93417799999992
95,Debay Telatgen,430.5777,428.89390000000003,476.026,318.6945089999997
96,Debre Elias,428.07,363.59700000000004,511.365,386.4237919999992
97,Dejen,344.4975,294.678,370.2604,299.51069699999977
98,Enarj Enawga,534.9975000000001,483.4168,585.1094,449.3376310000006
99,Enbise Sar Midir,410.7277,259.9078,449.7704,403.12854899999985
100,Enemay,524.1093000000001,449.1186,591.7654,385.1384360000009
101,Goncha Siso Enese,540.5934,499.87120000000004,630.6895000000001,489.2881750000012
102,Gonje,178.1434,193.556,200.346,128.8208859999999
103,Guzamn,559.4281,517.4344,677.2977000000001,456.980189
104,Hulet Ej Enese,817.8726,910.101,944.5889000000001,703.7437400000005
105,Michakel,433.858,535.2957,535.7884,326.5694829999998
106,Senan,456.3772,618.3411,523.3484,358.21344500000066
107,Shebel Bereta,418.45160000000004,313.45480000000003,403.56510000000003,384.80372500000044
108,Angolelana Tera,385.68960000000004,710.5448,650.4586,435.60848599999986
109,Ankober,157.9384,329.3664,154.2851,210.31928400000012
110,Antsokiya,120.3469,166.9841,122.1426,110.80766800000009
111,Assagirt,156.2123,215.12290000000002,150.7441,166.98185800000005
112,Basona Worena,635.7616,969.5865,869.9963,614.7725649999991
113,Berehet,210.6604,118.88730000000001,105.406,215.1318580000004
114,Eferatana Gidem,175.5764,289.11310000000003,181.4592,165.04035200000007
115,Ensaro,222.6314,169.937,239.1245,182.95954100000006
116,Gishe Rabel,244.9127,267.8164,257.2697,267.671444
117,Hagere Mariam,309.95930000000004,350.80440000000004,337.3281,296.81164700000033
118,Kewet,335.4365,425.0315,281.5652,240.699508
119,Menz Gera Midir,520.8781,572.1783,511.52720000000005,492.0763659999998
120,Menz Keya Gabriel,160.7801,160.83190000000002,259.255,218.7929020000001
121,Menz Lalo Midir,174.3665,184.8543,215.0714,175.39697099999992
122,Menz Mama Midir,306.8288,395.3269,364.15680000000003,294.6037919999997
123,Merahbete,370.58340000000004,284.462,502.9284,390.12649999999957
124,Mimo Weremo,411.7081,379.85200000000003,499.8763,373.3446579999996
125,Minjar Shenkora,963.9039,619.4972,855.2308,659.4300540000008
126,Mojan Wedera,292.78770000000003,412.38190000000003,389.7162,289.52679800000016
127,Moretna Jiru,303.0328,266.5521,398.4988,305.4449190000004
128,Siya Debirna Wayu,347.2274,362.58160000000004,400.32210000000003,278.3195439999999
129,Tarema Ber,225.22990000000001,377.3706,200.17340000000002,189.21118400000003
130,Artuma Fursi,174.7594,170.7097,116.94000000000001,177.3859590000003
131,Bati,254.36350000000002,179.2752,101.0382,234.82207500000052
132,Dewa Cheffa,199.7722,334.54650000000004,248.8572,194.8041979999998
133,Dewa Harewa,182.6648,115.0771,66.6031,117.4487440000003
134,Jille Timuga,207.1877,154.1733,145.3769,206.44884099999985
135,Addi Arekay,178.9454,125.52300000000001,223.33290000000002,377.337074
136,Alfa,669.6851,953.6468000000001,1023.8241,695.3081899999987
137,Beyeda,221.1211,193.3035,252.8461,325.4793570000006
138,Chilga,549.1929,573.7081000000001,917.3653,707.0652810000005
139,Dabat,396.2036,433.8109,560.0108,453.5288630000002
140,Debark,407.89680000000004,407.9195,520.1869,557.5058170000016
141,Dembia,836.7126000000001,1090.5698,1211.3295,731.3303300000022
142,East Belesa,766.5339,218.78480000000002,703.7663,742.2685470000009
143,Gonder Zuria,900.5393,1005.0288,1107.9909,753.7925309999991
144,Janamora,548.5589,345.3553,520.9035,650.9918120000021
